COD_PRO;NAME;Y04;Y05;Y06;Y07;Y08;Y09
1; Torino;0,31610738;0,357855726;0,371613434;0,40036792;0,414614388;0,422900615
2; Vercelli;0,230208884;0,213424951;0,237445196;0,242787588;0,25256832;0,324818146
3; Novara;0,336067641;0,515651768;0,67319505;0,706445948;0,723718887;0,729635805
4; Cuneo;0,371937981;0,34716153;0,320084891;0,430008506;0,452540294;0,512940902
5; Asti;0,405887067;0,62688228;0,661008681;0,61632323;0,633571068;0,646260929
6; Alessandria;0,292894516;0,307882842;0,409130846;0,522759449;0,513074854;0,481161039
7; Aosta;0,258348701;0,290868732;0,36934916;0,445373989;0,445373989;0,487040234
8; Imperia;0,182790406;0,159505987;0,166521164;0,213339124;0,23998343;0,247998799
9; Savona;0,236160052;0,294175084;0,277636407;0,252628371;0,266401537;0,312752043
10; Genova;0,155276633;0,183435416;0,137428755;0,167472741;0,208843892;0,240600782
11; La Spezia;0,257743393;0,242149783;0,210098962;0,226144037;0,253733737;0,279351924
12; Varese;0,385754264;0,420323305;0,429725584;0,447387701;0,491973266;0,53819023
13; Como;0,307109573;0,31405572;0,332771754;0,396603859;0,379526655;0,376650908
14; Sondrio;0,388910434;0,397402154;0,402966065;0,434783346;0,463271866;0,496779454
15; Milano;0,295034822;0,297792469;0,349502532;0,351849082;0,359396926;0,370862364
16; Bergamo;0,403092641;0,411548431;0,445010528;0,492820001;0,505464358;0,520035659
17; Brescia;0,371428325;0,388744872;0,406058065;0,434176287;0,400510105;0,399785367
18; Pavia;0,268791404;0,275498011;0,281092663;0,266044995;0,266044995;0,311939707
19; Cremona;0,381990401;0,384263068;0,425380703;0,440908887;0,464846988;0,470720094
20; Mantova;0,354314325;0,347035647;0,36301726;0,350011196;0,387754529;0,411587956
21; Bolzano;0,270761088;0,271939818;0,309826145;0,399463059;0,426834537;0,457322324
22; Trento;0,383134833;0,457898455;0,475419653;0,505244395;0,540487046;0,577917831
23; Verona;0,277811264;0,328106965;0,321538223;0,336052886;0,403475491;0,446958614
24; Vicenza;0,354069325;0,395364634;0,434804628;0,451668711;0,485661018;0,501308654
25; Belluno;0,215510262;0,297690329;0,598597094;0,573690535;0,575632279;0,622389711
26; Treviso;0,448697218;0,456136462;0,466433416;0,486664683;0,518489267;0,531050296
27; Venezia;0,171963379;0,206984021;0,241196559;0,291383295;0,333542207;0,330711222
28; Padova;0,40941742;0,410749762;0,40959173;0,41647583;0,441906119;0,436294823
29; Rovigo;0,359412266;0,482247524;0,534055947;0,536989147;0,568698175;0,592413329
